lng,lat,dest_lng,dest_lat,time_s
-87.6324675015,41.8090762537,-87.5993467357,41.6653987328,-1
-87.6324675015,41.8090762537,-87.556809916,41.6681847188,-1
-87.6324675015,41.8090762537,-87.7696246581,41.8034030164,-1
-87.6324675015,41.8090762537,-87.7261730216,41.8108057493,2077
-87.6324675015,41.8090762537,-87.6991215254,41.81936451,2128
-87.6324675015,41.8090762537,-87.6494664458,41.836409452,1291
-87.6324675015,41.8090762537,-87.6599414275,41.8087268165,429
-87.6324675015,41.8090762537,-87.7255904576,41.7959029727,3077
-87.6324675015,41.8090762537,-87.6962913388,41.7954730247,1708
-87.6324675015,41.8090762537,-87.7691960936,41.7784604941,3466
-87.6324675015,41.8090762537,-87.7272430628,41.7695687374,3053
-87.6324675015,41.8090762537,-87.695548386,41.7718490499,2083
-87.6324675015,41.8090762537,-87.666801359,41.7759025044,1465
-87.6324675015,41.8090762537,-87.6415606141,41.7753382456,1252
-87.6324675015,41.8090762537,-87.6159993134,41.7669573171,1364
-87.6324675015,41.8090762537,-87.6514869184,41.9218996159,2215
-87.6324675015,41.8090762537,-87.7071433238,41.7479965953,2894
-87.6324675015,41.8090762537,-87.6561609095,41.7433892887,2233
-87.6324675015,41.8090762537,-87.6762394297,41.7172935896,2695
-87.6324675015,41.8090762537,-87.6506245727,41.7159863761,2109
-87.6324675015,41.8090762537,-87.717747815,41.6968692635,4173
-87.6324675015,41.8090762537,-87.6690344105,41.6878025708,2588
-87.6324675015,41.8090762537,-87.8874544692,41.9731379747,-1
-87.6324675015,41.8090762537,-87.6611514222,41.9871697889,3304
-87.6324675015,41.8090762537,-87.8139807709,42.0071782564,4839
-87.6178849991,41.8129289169,-87.6163347894,41.8347038748,666
-87.6178849991,41.8129289169,-87.6023885556,41.8240900087,1310
-87.6178849991,41.8129289169,-87.6324675015,41.8090762537,815
-87.6178849991,41.8129289169,-87.5933614086,41.8095969636,847
-87.6178849991,41.8129289169,-87.6904392161,41.9760184484,4134
-87.6178849991,41.8129289169,-87.6174427491,41.7911312433,704
-87.6178849991,41.8129289169,-87.5907857873,41.7942340378,1333
-87.6178849991,41.8129289169,-87.591103864,41.7761334681,1994
-87.6178849991,41.8129289169,-87.6696044975,42.0104989522,4205
-87.6178849991,41.8129289169,-87.7703223329,41.9825042397,4012
-87.6178849991,41.8129289169,-87.7583068883,41.9917059089,5687
-87.6178849991,41.8129289169,-87.7261488733,41.9846051995,4525
-87.6178849991,41.8129289169,-87.7213693543,41.968521496,4469
-87.6178849991,41.8129289169,-87.7645780585,41.9535688785,4892
-87.6178849991,41.8129289169,-87.7210876711,41.9535127833,3938
-87.6178849991,41.8129289169,-87.806456747,41.9472647818,4649
-87.6178849991,41.8129289169,-87.7980809604,41.9278743552,4815
-87.6178849991,41.8129289169,-87.7660523178,41.9263941918,4041
-87.6178849991,41.8129289169,-87.692752708,42.0013058794,4734
-87.6178849991,41.8129289169,-87.7322612632,41.9262258671,4321
-87.6178849991,41.8129289169,-87.7115523634,41.9392149708,3041
-87.6178849991,41.8129289169,-87.6975403474,41.9248265528,2935
-87.6178849991,41.8129289169,-87.7164903481,41.900872806,3773
-87.6178849991,41.8129289169,-87.6731828793,41.9021777644,2953
-87.6178849991,41.8129289169,-87.7728098301,41.8944136969,3922
-87.6178849991,41.8129289169,-87.7303958682,41.8782963834,3286
-87.6178849991,41.8129289169,-87.7048274062,41.878719841,2906
-87.6178849991,41.8129289169,-87.6633940945,41.8733728795,2800
-87.6178849991,41.8129289169,-87.7139721106,41.8582848402,3428
-87.6178849991,41.8129289169,-87.652637557,41.9661075197,3641
-87.6178849991,41.8129289169,-87.7133612858,41.8378379546,2982
-87.6178849991,41.8129289169,-87.6616155822,41.8474095044,2493
-87.6178849991,41.8129289169,-87.6203833666,41.8565996829,1446
-87.6178849991,41.8129289169,-87.6364609818,41.8406962182,2017
-87.6178849991,41.8129289169,-87.8072228108,41.9856125953,4108
-87.6178849991,41.8129289169,-87.6288765812,41.8989537971,2252
-87.6178849991,41.8129289169,-87.6203724059,41.8789724974,2348
-87.6178849991,41.8129289169,-87.5681135653,41.7626448354,2452
-87.6178849991,41.8129289169,-87.6174163989,41.736958739,2028
-87.6178849991,41.8129289169,-87.5817914573,41.7468320805,2022
-87.6178849991,41.8129289169,-87.5550587928,41.7389921662,3268
-87.6178849991,41.8129289169,-87.595610964,41.7294105994,3119
-87.6178849991,41.8129289169,-87.6717818648,41.8310103201,1832
-87.6178849991,41.8129289169,-87.6522001507,41.9469886855,2831
-87.6178849991,41.8129289169,-87.5705121861,41.72989349,2782
-87.6178849991,41.8129289169,-87.6230081049,41.7122781921,3091
-87.6178849991,41.8129289169,-87.6851079785,41.9468770735,4015
-87.6178849991,41.8129289169,-87.5980333532,41.7038819518,3553
-87.6178849991,41.8129289169,-87.5720604263,41.6915254757,-1
-87.6178849991,41.8129289169,-87.535020955,41.7078837283,3146
-87.6178849991,41.8129289169,-87.6369389639,41.6713896802,3837
-87.6178849991,41.8129289169,-87.5993467357,41.6653987328,-1
-87.6178849991,41.8129289169,-87.556809916,41.6681847188,-1
-87.6178849991,41.8129289169,-87.7696246581,41.8034030164,-1
-87.6178849991,41.8129289169,-87.7261730216,41.8108057493,2782
-87.6178849991,41.8129289169,-87.6991215254,41.81936451,2567
-87.6178849991,41.8129289169,-87.6494664458,41.836409452,1876
-87.6178849991,41.8129289169,-87.6599414275,41.8087268165,1129
-87.6178849991,41.8129289169,-87.7255904576,41.7959029727,3121
-87.6178849991,41.8129289169,-87.6962913388,41.7954730247,2129
-87.6178849991,41.8129289169,-87.7691960936,41.7784604941,4407
-87.6178849991,41.8129289169,-87.7272430628,41.7695687374,3667
-87.6178849991,41.8129289169,-87.695548386,41.7718490499,2697
-87.6178849991,41.8129289169,-87.666801359,41.7759025044,1895
-87.6178849991,41.8129289169,-87.6415606141,41.7753382456,2070
-87.6178849991,41.8129289169,-87.6159993134,41.7669573171,1242
-87.6178849991,41.8129289169,-87.6514869184,41.9218996159,2761
-87.6178849991,41.8129289169,-87.7071433238,41.7479965953,3789
-87.6178849991,41.8129289169,-87.6561609095,41.7433892887,2674
-87.6178849991,41.8129289169,-87.6762394297,41.7172935896,3693
-87.6178849991,41.8129289169,-87.6506245727,41.7159863761,2927
-87.6178849991,41.8129289169,-87.717747815,41.6968692635,4904
-87.6178849991,41.8129289169,-87.6690344105,41.6878025708,3406
-87.6178849991,41.8129289169,-87.8874544692,41.9731379747,-1
-87.6178849991,41.8129289169,-87.6611514222,41.9871697889,3850
-87.6178849991,41.8129289169,-87.8139807709,42.0071782564,5085
-87.5933614086,41.8095969636,-87.6163347894,41.8347038748,1499
-87.5933614086,41.8095969636,-87.6023885556,41.8240900087,1202
-87.5933614086,41.8095969636,-87.6324675015,41.8090762537,1001
-87.5933614086,41.8095969636,-87.6178849991,41.8129289169,980
-87.5933614086,41.8095969636,-87.6904392161,41.9760184484,4037
-87.5933614086,41.8095969636,-87.6174427491,41.7911312433,1277
-87.5933614086,41.8095969636,-87.5907857873,41.7942340378,1194
-87.5933614086,41.8095969636,-87.591103864,41.7761334681,1505
-87.5933614086,41.8095969636,-87.6696044975,42.0104989522,4097
-87.5933614086,41.8095969636,-87.7703223329,41.9825042397,4128
-87.5933614086,41.8095969636,-87.7583068883,41.9917059089,4901
-87.5933614086,41.8095969636,-87.7261488733,41.9846051995,4641
-87.5933614086,41.8095969636,-87.7213693543,41.968521496,4271
-87.5933614086,41.8095969636,-87.7645780585,41.9535688785,4391
-87.5933614086,41.8095969636,-87.7210876711,41.9535127833,4118
-87.5933614086,41.8095969636,-87.806456747,41.9472647818,4841
-87.5933614086,41.8095969636,-87.7980809604,41.9278743552,5007
-87.5933614086,41.8095969636,-87.7660523178,41.9263941918,4233
-87.5933614086,41.8095969636,-87.692752708,42.0013058794,4926
-87.5933614086,41.8095969636,-87.7322612632,41.9262258671,4196
-87.5933614086,41.8095969636,-87.7115523634,41.9392149708,3157
-87.5933614086,41.8095969636,-87.6975403474,41.9248265528,3051
-87.5933614086,41.8095969636,-87.7164903481,41.900872806,3448
-87.5933614086,41.8095969636,-87.6731828793,41.9021777644,2914
-87.5933614086,41.8095969636,-87.7728098301,41.8944136969,4114
-87.5933614086,41.8095969636,-87.7303958682,41.8782963834,3478
-87.5933614086,41.8095969636,-87.7048274062,41.878719841,3029
-87.5933614086,41.8095969636,-87.6633940945,41.8733728795,2520
-87.5933614086,41.8095969636,-87.7139721106,41.8582848402,3544
-87.5933614086,41.8095969636,-87.652637557,41.9661075197,3757
-87.5933614086,41.8095969636,-87.7133612858,41.8378379546,3759
-87.5933614086,41.8095969636,-87.6616155822,41.8474095044,2650
-87.5933614086,41.8095969636,-87.6203833666,41.8565996829,1948
-87.5933614086,41.8095969636,-87.6364609818,41.8406962182,2910
-87.5933614086,41.8095969636,-87.8072228108,41.9856125953,4224
-87.5933614086,41.8095969636,-87.6288765812,41.8989537971,2316
-87.5933614086,41.8095969636,-87.6203724059,41.8789724974,1564
-87.5933614086,41.8095969636,-87.5681135653,41.7626448354,2245
-87.5933614086,41.8095969636,-87.6174163989,41.736958739,2631
-87.5933614086,41.8095969636,-87.5817914573,41.7468320805,2306
-87.5933614086,41.8095969636,-87.5550587928,41.7389921662,3077
-87.5933614086,41.8095969636,-87.595610964,41.7294105994,3040
-87.5933614086,41.8095969636,-87.6717818648,41.8310103201,2695
-87.5933614086,41.8095969636,-87.6522001507,41.9469886855,2723
-87.5933614086,41.8095969636,-87.5705121861,41.72989349,3045
-87.5933614086,41.8095969636,-87.6230081049,41.7122781921,2734
-87.5933614086,41.8095969636,-87.6851079785,41.9468770735,3607
-87.5933614086,41.8095969636,-87.5980333532,41.7038819518,3868
-87.5933614086,41.8095969636,-87.5720604263,41.6915254757,-1
-87.5933614086,41.8095969636,-87.535020955,41.7078837283,4274
-87.5933614086,41.8095969636,-87.6369389639,41.6713896802,4011
-87.5933614086,41.8095969636,-87.5993467357,41.6653987328,-1
-87.5933614086,41.8095969636,-87.556809916,41.6681847188,-1
-87.5933614086,41.8095969636,-87.7696246581,41.8034030164,-1
-87.5933614086,41.8095969636,-87.7261730216,41.8108057493,2968
-87.5933614086,41.8095969636,-87.6991215254,41.81936451,2753
-87.5933614086,41.8095969636,-87.6494664458,41.836409452,2551
-87.5933614086,41.8095969636,-87.6599414275,41.8087268165,1315
-87.5933614086,41.8095969636,-87.7255904576,41.7959029727,3430
-87.5933614086,41.8095969636,-87.6962913388,41.7954730247,2841
